iteration,likelihood
1.0,-71050.68781970475
10.0,-41369.05832250699
20.0,-27216.351472701703
30.0,-19732.546212465106
40.0,-15515.105445033578
50.0,-12855.411535781108
60.0,-11005.353473330617
70.0,-9665.1225550616
80.0,-8645.798785445892
90.0,-7838.300668327304
100.0,-7185.316447537488
110.0,-6644.400330135934
120.0,-6188.366094641605
130.0,-5796.428255371599
140.0,-5458.272292447013
150.0,-5163.120437282084
160.0,-4902.1885680848045
170.0,-4669.019440901527
180.0,-4459.2223186716465
190.0,-4270.35133085871
200.0,-4098.859587155873
210.0,-3940.7689709040496
220.0,-3793.967716826416
230.0,-3659.8406507405653
240.0,-3535.969946436132
250.0,-3420.768654028173
260.0,-3313.1814812022685
270.0,-3212.3695612912907
280.0,-3117.6646103709845
290.0,-3028.512827652412
300.0,-2944.5408081064616
310.0,-2865.266731257455
320.0,-2790.3112081203703
330.0,-2719.2586802503793
340.0,-2651.801699642284
350.0,-2587.710640846313
360.0,-2526.796862328498
370.0,-2468.9588938425504
380.0,-2413.8163856740075
390.0,-2361.1807296335783
400.0,-2310.858586672197
410.0,-2262.6302190970805
420.0,-2216.3224027373835
430.0,-2171.910491179304
440.0,-2129.200236800253
450.0,-2088.0853388837686
460.0,-2048.4977241540737
470.0,-2010.422401289318
480.0,-1973.728863355277
490.0,-1938.376754152642
500.0,-1904.3682586293257
510.0,-1871.6885997611716
520.0,-1840.1603908848033
530.0,-1809.6974683027724
540.0,-1780.285717010729
550.0,-1751.8592858618308
560.0,-1724.3628385960646
570.0,-1697.749273907641
580.0,-1671.9780334102961
590.0,-1646.996889752606
600.0,-1622.769711552301
610.0,-1599.2148294122353
620.0,-1576.3305759189907
630.0,-1554.1123131799845
640.0,-1532.5010529281817
650.0,-1511.4855177565996
660.0,-1491.0858068496436
670.0,-1471.2568586951813
680.0,-1451.9219343029615
690.0,-1432.9575030688102
700.0,-1414.148330629945
710.0,-1395.5970732700484
720.0,-1377.3906217009317
730.0,-1359.6295269393815
740.0,-1342.486937715006
750.0,-1325.9715544252942
760.0,-1309.944245992448
770.0,-1294.3624640173098
780.0,-1279.2111418947397
790.0,-1264.4480098596057
800.0,-1250.0558129290762
810.0,-1235.9663954211474
820.0,-1222.1677247643051
830.0,-1208.7935740167113
840.0,-1195.5994258634348
850.0,-1182.7646237332897
860.0,-1170.25316328718
870.0,-1158.0150024923378
880.0,-1145.9983709037833
890.0,-1133.9495553081015
900.0,-1121.9111720483734
910.0,-1110.0924926634684
920.0,-1098.3282931975716
930.0,-1086.9996613784651
940.0,-1076.0485306229552
950.0,-1065.5033038331328
960.0,-1055.2485118247532
970.0,-1045.242131299359
980.0,-1035.4677469654866
990.0,-1025.7907745825876
1000.0,-1016.2698745358776
1010.0,-1006.9461355326079
1020.0,-997.7838597535624
1030.0,-988.5047383217934
1040.0,-979.1357014197324
1050.0,-970.085745168423
1060.0,-961.1350395766655
1070.0,-952.5026255731284
1080.0,-944.0730834902721
1090.0,-935.9856209725949
1100.0,-928.1701327514504
1110.0,-920.5747436268356
1120.0,-913.1612053576581
1130.0,-905.902610430086
1140.0,-898.78663173554
1150.0,-891.8033817509605
1160.0,-884.9448306764953
1170.0,-878.1999369790893
1180.0,-871.5665422551012
1190.0,-865.1062927356356
1200.0,-858.6678386418312
1210.0,-852.3331673655553
1220.0,-846.1212592843076
1230.0,-840.0108053450695
1240.0,-834.0042513275832
1250.0,-828.0902559124413
1260.0,-822.2660309740851
1270.0,-816.5328216778892
1280.0,-810.885535644961
1290.0,-805.3221294896555
1300.0,-799.8365789814268
1310.0,-794.4282372883679
1320.0,-789.0948650040913
1330.0,-783.8340278004432
1340.0,-778.6460695965544
1350.0,-773.5334819860595
1360.0,-768.4937941419623
1370.0,-763.5245756062143
1380.0,-758.6235483451903
1390.0,-753.7880215682353
1400.0,-749.0170566870927
1410.0,-744.3081166382941
1420.0,-739.658638591249
1430.0,-735.0692658934519
1440.0,-730.5396038635189
1450.0,-726.0680291220774
1460.0,-721.6550372675063
1470.0,-717.2986566826945
1480.0,-712.9967103731915
1490.0,-708.7481394337399
1500.0,-704.5525835051101
1510.0,-700.4087287410777
1520.0,-696.3160389114338
1530.0,-692.2726925484707
1540.0,-688.2791565835747
1550.0,-684.3344485427092
1560.0,-680.4344545356522
1570.0,-676.5813015954466
1580.0,-672.7733511080762
1590.0,-669.0116902405055
1600.0,-665.2931945117907
1610.0,-661.6200570808435
1620.0,-657.9911345265925
1630.0,-654.4046242614495
1640.0,-650.8580621067695
1650.0,-647.3507215972877
1660.0,-643.8812724114753
1670.0,-640.4515190971591
1680.0,-637.0604439570046
1690.0,-633.710346789468
1700.0,-630.3968846645276
1710.0,-627.1199656331387
1720.0,-623.8806754995876
1730.0,-620.6775987854826
1740.0,-617.5102973156609
1750.0,-614.3788511993056
1760.0,-611.2828805947952
1770.0,-608.2217910524741
