poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Restaurant,0.49667224073779453,-0.018077607101361814,0.03222429939819129,0.06490404817898869,0.07017222430002878,0.4975253981821329,-2342.755499899826,1
Store,0.49667224073783156,-0.003868924069929449,0.034212057893075506,0.085870491931135,0.09235387223238337,0.49752539818216707,-501.39064825892996,1
Education,0.49667224073819616,-0.015319159924023223,0.04512387751336988,0.1308660709229764,0.1375769463968484,0.4975253981825206,-1985.276367863246,1
Public Transportation,0.49667224073786814,0.0007716386580731449,0.017428406843512607,0.0650629307407235,0.06735234884884526,0.49752539818220776,100.0,1
Restaurant,0.4681569504859571,-0.014283300491265418,0.02599982167057437,0.057160376118692825,0.061149706884075214,0.4758381053902321,-903.0492957918444,10
Store,0.46842895039516924,-0.0012671006096804723,0.02945146727175181,0.08187089577270891,0.08699785603754717,0.4758163595830609,-80.11133799006093,10
Education,0.4737108464421495,-0.01057152002732611,0.03890602250539784,0.12119721908972386,0.12684907357401112,0.47619689303649065,-668.3751925519035,10
Public Transportation,0.46792452834982856,0.0015816745063447525,0.014587347309421734,0.05765528481378293,0.05945099556979766,0.47588003083191716,100.0,10
Restaurant,0.44116529048696995,-0.011424209625558129,0.02087794600461744,0.050367592651595204,0.05331294827075364,0.45442758947548395,-667.1709177896144,20
Store,0.4418957882490716,0.0010450878699233568,0.02454564670479872,0.07598829915460946,0.07984746816218631,0.45432873407374785,61.032864084327834,20
Education,0.4810687738152637,-0.005899408688707718,0.03891510275243026,0.11495294244120674,0.12121782531974082,0.4562155377314476,-344.5239573034239,20
Public Transportation,0.4395227275366321,0.0017123362726012346,0.011632945234410394,0.05174978040651144,0.053013518006622434,0.4547846813259752,100.0,20
Restaurant,0.4201118807475706,-0.009613310198581599,0.017752636894416897,0.04601204048302916,0.04837197797426495,0.43678818487235954,-697.2277942564102,30
Store,0.42037682461186493,0.0013787904437794457,0.02110580250512293,0.07052903823448464,0.07360637927910048,0.436728984719296,100.0,30
Education,0.49406739984185116,-0.0049268601335115654,0.03856107127341798,0.11052395000177342,0.11695394730821593,0.44056662912925204,-357.3320482267338,30
Public Transportation,0.4197947424215218,0.0013261643522239006,0.010034886850881587,0.047824483540553936,0.048847942312257135,0.4379791145827409,96.18316969101627,30
Restaurant,0.40406343944523865,-0.008114502895299414,0.015668153305175823,0.04338230167315576,0.045405616053714785,0.42262162433251804,-513.5420276942733,40
Store,0.40240944449318095,0.001580104929626172,0.018153245533620674,0.06604129394078324,0.06847259376705561,0.4228422130520022,100.0,40
Education,0.5060090502600115,-0.003293164159245697,0.03900573914077942,0.11113185593296084,0.11773229021319151,0.4286107972340418,-208.41427031208667,40
Public Transportation,0.40656203728105955,0.0015114431148899766,0.008961896022872185,0.04460543521049917,0.045471705162147415,0.42506746656114935,95.65460410578937,40
Restaurant,0.3917195169245834,-0.007545134233268794,0.01446635382242743,0.04191454799702967,0.04369411489105735,0.4111570666368498,-562.4505789701848,50
Store,0.38735417857884136,0.0013414750584990966,0.016303562778574164,0.0609429961611376,0.06307182718963171,0.411961002852998,100.0,50
